user_id,product_id,interaction_type,timestamp
2,62,view,"2025-06-10 21:40:40"
2,62,view,"2025-06-10 21:40:41"
13,47,view,"2025-06-10 22:40:22"
13,47,view,"2025-06-10 22:40:23"
13,47,order,"2025-06-10 22:40:32"
13,46,view,"2025-06-10 22:40:52"
13,46,view,"2025-06-10 22:40:52"
13,60,view,"2025-06-23 05:48:28"
13,60,view,"2025-06-23 05:48:28"
13,62,view,"2025-06-23 06:05:52"
13,62,view,"2025-06-23 06:05:52"
13,62,order,"2025-06-23 06:06:11"
13,53,view,"2025-06-23 06:25:36"
13,53,view,"2025-06-23 06:25:36"
13,53,order,"2025-06-23 06:25:50"
13,53,view,"2025-06-23 06:45:40"
13,53,view,"2025-06-23 06:45:40"
13,53,order,"2025-06-23 06:45:49"
13,60,view,"2025-06-23 07:07:31"
13,60,view,"2025-06-23 07:07:31"
13,60,order,"2025-06-23 07:07:47"
13,55,view,"2025-06-23 07:15:51"
13,55,view,"2025-06-23 07:15:51"
13,55,order,"2025-06-23 07:16:06"
